zaman_damgasi,gecen_sure_ms,olay,seq_no,deneme,aciklama
12:04:05.121,0.0,SEND,0,1,
12:04:05.126,5.374,ACK_ALINDI,0,1,
12:04:05.126,5.374,SEND,1,1,
12:04:05.128,7.935,ACK_ALINDI,1,1,
12:04:05.128,7.935,SEND,2,1,
12:04:05.130,9.626,ACK_ALINDI,2,1,
12:04:05.130,9.626,SEND,3,1,
12:04:05.133,12.437,ACK_ALINDI,3,1,
12:04:05.133,12.437,SEND,4,1,
12:04:05.138,17.983,ACK_ALINDI,4,1,
12:04:05.138,17.983,SEND,5,1,
12:04:05.138,17.983,ACK_ALINDI,5,1,
12:04:05.140,19.506,SEND,6,1,
12:04:05.141,20.23,ACK_ALINDI,6,1,
12:04:05.141,20.23,SEND,7,1,
12:04:05.141,20.23,ACK_ALINDI,7,1,
12:04:05.141,20.23,SEND,8,1,
12:04:05.169,48.864,ACK_ALINDI,8,1,
12:04:05.169,48.864,SEND,9,1,
12:04:05.169,48.864,ACK_ALINDI,9,1,
12:04:05.169,48.864,SEND,10,1,
12:04:05.174,53.966,ACK_ALINDI,10,1,
12:04:05.174,53.966,SEND,11,1,
12:04:05.175,54.704,ACK_ALINDI,11,1,
12:04:05.175,54.704,SEND,12,1,
12:04:05.175,54.704,ACK_ALINDI,12,1,
12:04:05.175,54.704,SEND,13,1,
12:04:05.177,56.75,ACK_ALINDI,13,1,
12:04:05.177,56.75,SEND,14,1,
12:04:05.177,56.75,ACK_ALINDI,14,1,
12:04:05.177,56.75,SEND,15,1,
12:04:05.180,59.594,ACK_ALINDI,15,1,
12:04:05.180,59.594,SEND,16,1,
12:04:05.180,59.594,ACK_ALINDI,16,1,
12:04:05.180,59.594,SEND,17,1,
12:04:05.182,61.805,ACK_ALINDI,17,1,
12:04:05.182,61.805,SEND,18,1,
12:04:05.184,61.805,ACK_ALINDI,18,1,
12:04:05.184,63.568,SEND,19,1,
12:04:05.185,64.456,ACK_ALINDI,19,1,
12:04:05.185,64.456,SEND,20,1,
12:04:05.188,67.801,ACK_ALINDI,20,1,
12:04:05.188,67.801,SEND,21,1,
12:04:05.188,67.801,ACK_ALINDI,21,1,
12:04:05.188,67.801,SEND,22,1,
12:04:05.190,69.888,ACK_ALINDI,22,1,
12:04:05.191,70.332,SEND,23,1,
12:04:05.191,70.685,ACK_ALINDI,23,1,
12:04:05.191,70.685,SEND,24,1,
12:04:05.191,70.685,ACK_ALINDI,24,1,
12:04:05.191,70.685,SEND,25,1,
12:04:05.191,70.685,ACK_ALINDI,25,1,
12:04:05.191,70.685,SEND,26,1,
12:04:05.191,70.685,ACK_ALINDI,26,1,
12:04:05.191,70.685,SEND,27,1,
12:04:05.194,73.234,ACK_ALINDI,27,1,
12:04:05.194,73.234,SEND,28,1,
12:04:05.196,75.625,ACK_ALINDI,28,1,
12:04:05.196,75.625,SEND,29,1,
12:04:05.196,75.625,ACK_ALINDI,29,1,
