zaman_damgasi,gecen_sure_ms,olay,seq_no,deneme,aciklama
12:06:23.275,0.0,SEND,0,1,
12:06:23.317,41.3,ACK_ALINDI,0,1,
12:06:23.317,41.3,SEND,1,1,
12:06:23.318,42.891,ACK_ALINDI,1,1,
12:06:23.318,42.891,SEND,2,1,
12:06:23.320,44.918,ACK_ALINDI,2,1,
12:06:23.320,44.918,SEND,3,1,
12:06:23.328,52.914,ACK_ALINDI,3,1,
12:06:23.328,52.914,SEND,4,1,
12:06:23.330,54.496,ACK_ALINDI,4,1,
12:06:23.330,54.496,SEND,5,1,
12:06:23.331,55.799,ACK_ALINDI,5,1,
12:06:23.331,55.799,SEND,6,1,
12:06:23.331,55.799,ACK_ALINDI,6,1,
12:06:23.331,55.799,SEND,7,1,
12:06:23.331,55.799,ACK_ALINDI,7,1,
12:06:23.331,55.799,SEND,8,1,
12:06:24.845,1569.314,TIMEOUT,8,1,
12:06:24.846,1570.08,RETRANSMIT,8,2,
12:06:24.848,1572.161,ACK_ALINDI,8,2,
12:06:24.848,1572.161,SEND,9,1,
12:06:24.848,1572.609,ACK_ALINDI,9,1,
12:06:24.848,1572.609,SEND,10,1,
12:06:24.848,1572.609,ACK_ALINDI,10,1,
12:06:24.848,1572.609,SEND,11,1,
12:06:24.852,1576.059,ACK_ALINDI,11,1,
12:06:24.852,1576.059,SEND,12,1,
12:06:24.870,1594.331,ACK_ALINDI,12,1,
12:06:24.870,1594.331,SEND,13,1,
12:06:24.873,1597.337,ACK_ALINDI,13,1,
12:06:24.873,1597.337,SEND,14,1,
12:06:24.904,1628.535,ACK_ALINDI,14,1,
12:06:24.904,1628.535,SEND,15,1,
12:06:24.904,1628.535,ACK_ALINDI,15,1,
12:06:24.904,1628.535,SEND,16,1,
12:06:26.410,3134.935,TIMEOUT,16,1,
12:06:26.412,3136.681,RETRANSMIT,16,2,
12:06:26.416,3140.786,ACK_ALINDI,16,2,
12:06:26.416,3140.786,SEND,17,1,
12:06:26.418,3142.811,ACK_ALINDI,17,1,
12:06:26.418,3142.811,SEND,18,1,
12:06:26.441,3165.037,ACK_ALINDI,18,1,
12:06:26.441,3165.037,SEND,19,1,
12:06:26.450,3174.201,ACK_ALINDI,19,1,
12:06:26.450,3174.725,SEND,20,1,
12:06:26.451,3175.915,ACK_ALINDI,20,1,
12:06:26.451,3175.915,SEND,21,1,
12:06:26.451,3175.915,ACK_ALINDI,21,1,
12:06:26.451,3175.915,SEND,22,1,
12:06:26.451,3175.915,ACK_ALINDI,22,1,
12:06:26.451,3175.915,SEND,23,1,
12:06:26.451,3175.915,ACK_ALINDI,23,1,
12:06:26.451,3175.915,SEND,24,1,
12:06:26.451,3175.915,ACK_ALINDI,24,1,
12:06:26.451,3175.915,SEND,25,1,
12:06:26.451,3175.915,ACK_ALINDI,25,1,
12:06:26.451,3175.915,SEND,26,1,
12:06:26.454,3178.714,ACK_ALINDI,26,1,
12:06:26.454,3178.714,SEND,27,1,
12:06:26.455,3179.267,ACK_ALINDI,27,1,
12:06:26.455,3179.267,SEND,28,1,
12:06:26.455,3179.267,ACK_ALINDI,28,1,
12:06:26.455,3179.267,SEND,29,1,
12:06:26.455,3179.267,ACK_ALINDI,29,1,
12:06:26.455,3179.267,SEND,30,1,
12:06:26.457,3181.241,ACK_ALINDI,30,1,
12:06:26.457,3181.241,SEND,31,1,
12:06:27.974,4698.068,TIMEOUT,31,1,
12:06:27.975,4699.163,RETRANSMIT,31,2,
12:06:27.978,4702.279,ACK_ALINDI,31,2,
12:06:27.978,4702.279,SEND,32,1,
